"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2013","15,212.0","15,239.0","15,278.0","15,192.0","134.74K","-0.15%"
"May 17, 2013","15,315.0","15,217.0","15,334.0","15,213.0","116.57K","0.68%"
"May 20, 2013","15,319.0","15,301.0","15,367.0","15,290.0","105.44K","0.03%"
"May 21, 2013","15,355.0","15,315.0","15,414.0","15,298.0","123.54K","0.24%"
"May 22, 2013","15,320.0","15,358.0","15,523.0","15,241.0","285.82K","-0.23%"
"May 23, 2013","15,289.0","15,333.0","15,345.0","15,143.0","260.25K","-0.20%"
"May 24, 2013","15,307.0","15,298.0","15,334.0","15,181.0","162.12K","0.12%"
"May 27, 2013","15,323.0","15,320.0","15,336.0","15,270.0","-","0.10%"
"May 28, 2013","15,373.0","15,305.0","15,508.0","15,270.0","179.76K","0.33%"
"May 29, 2013","15,290.0","15,369.0","15,390.0","15,209.0","192.42K","-0.54%"
"May 30, 2013","15,319.0","15,292.0","15,389.0","15,239.0","144.23K","0.19%"
"May 31, 2013","15,100.0","15,323.0","15,382.0","15,098.0","210.23K","-1.43%"
"Jun 03, 2013","15,217.0","15,118.0","15,242.0","15,099.0","251.55K","0.77%"
"Jun 04, 2013","15,179.0","15,220.0","15,298.0","15,088.0","205.08K","-0.25%"
"Jun 05, 2013","14,959.0","15,169.0","15,189.0","14,933.0","253.31K","-1.45%"
"Jun 06, 2013","15,036.0","14,962.0","15,049.0","14,835.0","240.67K","0.51%"
"Jun 07, 2013","15,208.0","15,031.0","15,249.0","14,996.0","228.40K","1.14%"
"Jun 10, 2013","15,228.0","15,194.0","15,293.0","15,178.0","152.12K","0.13%"
"Jun 11, 2013","15,138.0","15,225.0","15,247.0","15,074.0","209.15K","-0.59%"
"Jun 12, 2013","14,978.0","15,140.0","15,241.0","14,972.0","213.36K","-1.06%"
"Jun 13, 2013","15,186.0","14,984.0","15,205.0","14,873.0","186.99K","1.39%"
"Jun 14, 2013","15,056.0","15,192.0","15,210.0","15,041.0","67.05K","-0.86%"
"Jun 17, 2013","15,190.0","15,052.0","15,265.0","15,046.0","46.52K","0.89%"
"Jun 18, 2013","15,313.0","15,192.0","15,343.0","15,177.0","45.28K","0.81%"
"Jun 19, 2013","15,116.0","15,335.0","15,348.0","15,095.0","33.29K","-1.29%"
