Date	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	Percentage Change
2010-07-30	5374.3	27728650	1570000	5237.490000000001	5400.096630059068	5488.4089982171645	5375.910000000003	5263.411001782841	-0.6410137134138365
2010-08-02	5434.35	28894450	1165800	5247.5560000000005	5411.514420039379	5484.065070372577	5385.172500000002	5286.279929627428	1.1050079586335104
2010-08-03	5437.45	30230700	1336250	5260.118	5420.159613359586	5486.201735433299	5391.700000000003	5297.198264566706	0.05701201850130952
2010-08-04	5460.2	31229100	998400	5270.981000000001	5433.506408906391	5474.921594272081	5402.325000000003	5329.728405727924	0.4166514047104502
2010-08-05	5457.55	31527500	298400	5280.052000000001	5441.520939270928	5472.4654477139875	5409.730000000003	5346.994552286019	-0.04855658674679364
2010-08-06	5442.45	30959200	-568300	5288.081000000001	5441.830626180618	5472.90081275926	5414.150000000003	5355.399187240747	-0.2774485755496213
2010-08-09	5482.0	32062850	1103650	5296.597000000001	5455.2204174537455	5482.858167869446	5419.190000000003	5355.52183213056	0.7214520248084674
2010-08-10	5460.95	32543850	481000	5306.935000000001	5457.130278302497	5487.581542854791	5421.382500000002	5355.183457145214	-0.3854640676072878
2010-08-11	5411.9	33411000	867150	5315.086000000001	5442.053518868331	5487.191583293872	5422.555000000002	5357.918416706132	-0.906336037251246
2010-08-12	5419.7	33412300	1300	5321.561000000001	5434.602345912221	5486.34327399177	5424.460000000002	5362.576726008234	0.1439194051331288
2010-08-13	5456.45	33529600	117300	5328.291000000001	5441.884897274814	5489.522605737228	5427.370000000002	5365.217394262775	0.6735148310714842
2010-08-16	5417.45	33578800	49200	5336.236000000001	5433.739931516542	5488.2437565273385	5429.002500000001	5369.761243472664	-0.7198958919786985
2010-08-17	5424.8	33356650	-222150	5345.518	5430.759954344361	5483.2928695821765	5432.052500000002	5380.812130417827	0.13548886594898177
2010-08-18	5483.05	33140950	-215700	5355.371	5448.189969562907	5490.08234781663	5436.015000000001	5381.947652183372	1.062364924631364
2010-08-19	5527.7	32554000	-586950	5364.203	5474.693313041938	5506.710681440814	5439.720000000001	5372.729318559188	0.8077500587947906
2010-08-20	5522.55	32234550	-319450	5372.317000000001	5490.645542027959	5519.7795616832955	5443.657500000001	5367.535438316707	-0.09325402214556022
2010-08-23	5536.9	29581550	-2653000	5378.959000000002	5506.063694685306	5534.894217138038	5449.375000000001	5363.855782861964	0.2591702938467275
2010-08-24	5510.35	24064000	-5517550	5384.480000000001	5507.492463123537	5542.359393863772	5453.1625	5363.965606136228	-0.48182057401071204
2010-08-25	5469.85	16547450	-7516550	5389.348000000001	5494.944975415691	5542.165552619888	5456.935000000001	5371.704447380114	-0.7404224978747131
2010-08-26	5477.7	10078100	-6469350	5393.206000000001	5489.196650277127	5543.078233111651	5460.3825000000015	5377.686766888352	0.14330832283621692
2010-08-27	5415.75	32151450	620900	5396.298000000001	5464.714433518085	5538.203108226655	5462.455000000001	5386.706891773347	-1.1438858883811074
2010-08-30	5426.2	32317200	165750	5397.669	5451.876289012056	5538.480598032997	5462.047500000001	5385.614401967005	0.1925841288562865
2010-08-31	5403.7	32280700	-36500	5399.337	5435.817526008037	5540.30064423016	5460.360000000001	5380.419355769841	-0.4163813683217055
2010-09-01	5477.95	32815500	534800	5402.224000000001	5449.861684005358	5541.554613476659	5461.2475	5380.940386523342	1.3554340583612483
2010-09-02	5489.85	33876400	1060900	5405.6100000000015	5463.191122670239	5544.1009507170675	5462.862500000001	5381.624049282935	0.21676366385239204
2010-09-03	5484.9	34761550	885150	5409.634000000002	5470.427415113492	5546.197450399798	5464.985000000001	5383.772549600203	-0.09024777115354388
2010-09-06	5577.0	35642650	881100	5414.375000000001	5505.951610075662	5564.375277366101	5469.735000000001	5375.0947226339	1.6514254975793503
2010-09-07	5591.65	37004950	1362300	5420.879000000002	5534.517740050441	5584.635932838367	5476.27	5367.904067161634	0.2619978002914996
2010-09-08	5596.65	37088050	83100	5426.487000000002	5555.228493366961	5601.573943362892	5485.507500000001	5369.441056637109	0.08933915824645101
2010-09-09	5631.85	38214700	1126650	5433.958000000001	5580.768995577974	5624.327491980759	5496.115000000001	5367.902508019242	0.6250166463950696
2010-09-13	5763.2	38853750	639050	5444.205000000003	5641.579330385316	5683.061661978307	5511.452500000001	5339.843338021696	2.2791157690172033
2010-09-14	5812.0	37421500	-1432250	5455.4630000000025	5698.386220256877	5741.39768098781	5531.180000000001	5320.962319012192	0.8396421197522399
2010-09-15	5860.1	38769150	1347650	5466.527000000002	5752.290813504585	5801.281354366155	5552.9450000000015	5304.608645633848	0.8208051057149257
2010-09-16	5841.9	39356400	587250	5478.411000000002	5782.16054233639	5846.759114840866	5570.887500000001	5295.015885159136	-0.3115424776185955
2010-09-17	5904.05	38802200	-554200	5490.303000000002	5822.790361557593	5900.3739120268265	5589.705000000001	5279.036087973175	1.0526672368967158
2010-09-20	5994.1	39195850	393650	5503.104000000001	5879.893574371729	5968.3834480061705	5613.282500000001	5258.181551993832	1.5023106054286746
2010-09-21	6011.65	36838850	-2357000	5515.713000000002	5923.812382914486	6029.977101220816	5637.020000000001	5244.062898779187	0.291933163108286
2010-09-22	6002.15	34631950	-2206900	5527.4140000000025	5949.92492194299	6080.4793550498825	5661.610000000001	5242.740644950119	-0.15827661754537958
2010-09-23	5971.75	32916700	-1715250	5539.080000000003	5957.1999479619935	6116.606715395418	5686.705	5256.803284604582	-0.5090635073470865
2010-09-24	6034.55	30961700	-1955000	5552.139000000003	5982.983298641329	6158.593980083891	5714.547500000001	5270.50101991611	1.040674118202686
2010-09-27	6053.8	25374950	-5586750	5565.250000000003	6006.588865760887	6191.723692238728	5746.450000000001	5301.176307761273	0.31798209389144005
2010-09-28	6049.9	21263150	-4111800	5578.552000000003	6021.025910507257	6216.135868984226	5777.635	5339.134131015774	-0.06446387543596664
2010-09-29	6000.4	15811700	-5451450	5591.284000000003	6014.150607004838	6220.606630426204	5807.47	5394.3333695737965	-0.8249450036664223
2010-09-30	6030.0	11550500	-4261200	5603.808000000004	6019.433738003226	6229.814843149199	5835.0725	5440.330156850801	0.4908789386401387
2010-10-01	6176.3	27485500	-364050	5618.262000000004	6071.722492002151	6257.416787919076	5869.395	5481.3732120809245	2.3687320887910266
2010-10-04	6185.5	27894650	409150	5633.096000000004	6109.648328001434	6273.301263128806	5904.425000000001	5535.5487368711965	0.14873494462856388
2010-10-05	6182.85	28080400	185750	5648.302000000004	6134.0488853342895	6290.332214649035	5934.717500000001	5579.102785350966	-0.04286049313827177
2010-10-06	6214.1	27059200	-1021200	5663.892000000004	6160.7325902228595	6304.453702616751	5965.840000000002	5627.226297383253	0.5028885920728665
2010-10-07	6146.85	26454500	-604700	5678.941000000003	6156.105060148573	6294.887248113454	5993.350000000002	5691.81275188655	-1.0940563052620447
2010-10-08	6133.45	26471050	16550	5693.435000000003	6148.553373432382	6275.719405922317	6018.430000000002	5761.140594077688	-0.2184741051121399
2010-10-11	6159.75	26070950	-400100	5709.144000000004	6152.285582288255	6274.035186125895	6038.2575000000015	5802.479813874108	0.42696538008848056
2010-10-12	6118.65	26062000	-8950	5722.8300000000045	6141.073721525503	6267.376984168529	6053.590000000002	5839.803015831475	-0.6717168002745764
2010-10-13	6273.85	28748800	2686800	5739.558000000004	6185.3324810170025	6289.238430112535	6074.277500000002	5859.316569887469	2.4737601313388224
2010-10-14	6197.5	26505850	-2242950	5754.304000000004	6189.388320678002	6284.880175727956	6092.057500000002	5899.234824272047	-1.2319483662767303
2010-10-15	6092.0	26828750	322900	5766.993000000004	6156.925547118668	6273.9599822465325	6101.455000000002	5928.950017753471	-1.7317793827971109
2010-10-18	6122.2	27559150	730400	5780.588000000004	6145.350364745778	6273.31369321924	6107.8600000000015	5942.406306780763	0.49328672699356146
2010-10-19	6044.15	26420400	-1138750	5791.831000000005	6111.616909830519	6271.734444066527	6109.4850000000015	5947.235555933476	-1.291331287277784
2010-10-20	6007.8	26816650	396250	5802.768000000004	6077.011273220346	6271.286447107986	6109.767500000002	5948.248552892018	-0.6050467725290365
2010-10-21	6135.15	25895100	-921550	5817.233000000004	6096.390848813564	6266.73421661327	6117.937500000002	5969.140783386733	2.075743869343039
2010-10-22	6089.75	24263050	-1632050	5830.634000000004	6094.177232542376	6265.190421885213	6120.697500000001	5976.204578114789	-0.7455150047210417
2010-10-25	6136.2	22163100	-2099950	5844.229000000004	6108.184821694917	6266.109103695685	6124.817500000001	5983.525896304317	0.7569831491802715
2010-10-26	6108.25	20914000	-1249100	5858.045000000004	6108.206547796612	6265.072686378807	6127.7350000000015	5990.397313621196	-0.45757786600089745
2010-10-27	6037.5	16223950	-4690050	5870.299000000004	6084.637698531074	6260.866451048441	6129.590000000002	5998.313548951563	-1.1718426501035197
2010-10-28	5987.7	11393250	-4830700	5880.392000000004	6052.32513235405	6266.250122049717	6127.475000000001	5988.699877950286	-0.8317049952402455
2010-10-29	6043.6	24349550	-61600	5890.710000000004	6049.4167549027	6262.306139411077	6120.840000000002	5979.373860588927	0.9249453967833832
